1,101
0,0
0.1,0.048771
0.2,0.095163
0.3,0.139292
0.4,0.181269
0.5,0.221199
0.6,0.259182
0.7,0.295312
0.8,0.32968
0.9,0.362372
1,0.393469
1.1,0.42305
1.2,0.451188
1.3,0.477954
1.4,0.503415
1.5,0.527633
1.6,0.550671
1.7,0.572585
1.8,0.59343
1.9,0.613259
2,0.632121
2.1,0.650062
2.2,0.667129
2.3,0.683363
2.4,0.698806
2.5,0.713495
2.6,0.727468
2.7,0.74076
2.8,0.753403
2.9,0.76543
3,0.77687
3.1,0.787752
3.2,0.798103
3.3,0.80795
3.4,0.817316
3.5,0.826226
3.6,0.834701
3.7,0.842763
3.8,0.850431
3.9,0.857726
4,0.864665
4.1,0.871265
4.2,0.877544
4.3,0.883516
4.4,0.889197
4.5,0.894601
4.6,0.899741
4.7,0.904631
4.8,0.909282
4.9,0.913706
5,0.917915
5.1,0.921918
5.2,0.925726
5.3,0.929349
5.4,0.932794
5.5,0.936072
5.6,0.93919
5.7,0.942156
5.8,0.944977
5.9,0.94766
6,0.950213
6.1,0.952641
6.2,0.954951
6.3,0.957148
6.4,0.959238
6.5,0.961226
6.6,0.963117
6.7,0.964916
6.8,0.966627
6.9,0.968254
7,0.969803
7.1,0.971275
7.2,0.972676
7.3,0.974009
7.4,0.975276
7.5,0.976482
7.6,0.977629
7.7,0.97872
7.8,0.979758
7.9,0.980745
8,0.981684
8.1,0.982578
8.2,0.983427
8.3,0.984236
8.4,0.985004
8.5,0.985736
8.6,0.986431
8.7,0.987093
8.8,0.987723
8.9,0.988321
9,0.988891
9.1,0.989433
9.2,0.989948
9.3,0.990438
9.4,0.990905
9.5,0.991348
9.6,0.99177
9.7,0.992172
9.8,0.992553
9.9,0.992917
10,0.993262
